signal_date,exec_date,candidate_count,evaluated_count,retained_count,sell_count,buy_filled_count,p1_skip_count,unbuyable_skip_count,cash_insufficient_skip_count,below_lot_skip_count,ending_holdings_count,ending_cash_cny,ending_cash_weight_pre_close,turnover_cny,cost_cny,ranked_candidates_seen,arm,walk_depth,cost_bps
2021-01-08,2021-01-11,30,13,0,0,10,0,0,3,0,10,1418.0,0.01418,98582.0,0.0,30,T0,30,0.0
2021-01-22,2021-01-25,30,6,3,7,4,0,0,0,0,7,1109.0,0.010647081413210446,127629.0,0.0,30,T0,30,0.0
2021-02-05,2021-02-08,30,7,4,3,5,0,0,1,0,9,3306.0,0.03027084439723845,96223.0,0.0,30,T0,30,0.0
2021-02-19,2021-02-22,30,26,3,6,9,0,0,14,0,12,12.0,0.00010209811628975445,175564.0,0.0,30,T0,30,0.0
2021-03-05,2021-03-08,30,15,9,3,2,0,0,10,0,11,848.0,0.008181616448136463,36950.0,0.0,30,T0,30,0.0
2021-03-19,2021-03-22,30,4,8,3,3,0,0,0,0,11,1233.0,0.012481020346188886,46667.0,0.0,30,T0,30,0.0
2021-04-02,2021-04-06,30,9,4,7,6,0,0,1,0,10,4296.0,0.03957586756455491,119381.0,0.0,30,T0,30,0.0
2021-04-16,2021-04-19,30,22,2,8,14,0,1,6,0,16,129.0,0.0012289927975305819,156685.0,0.0,30,T0,30,0.0
2021-04-30,2021-05-06,30,19,4,12,13,0,1,1,0,17,5290.0,0.04531980878296181,183021.0,0.0,30,T0,30,0.0
2021-05-14,2021-05-17,30,17,8,9,9,0,0,0,0,17,5828.0,0.04725533122516825,119724.0,0.0,30,T0,30,0.0
2021-05-28,2021-05-31,30,11,3,14,9,0,0,0,0,12,6025.0,0.04699468043617303,202977.0,0.0,30,T0,30,0.0
2021-06-11,2021-06-15,30,10,4,8,8,0,0,0,0,12,1766.0,0.014168692484816392,105451.0,0.0,30,T0,30,0.0
2021-06-25,2021-06-28,30,13,2,10,8,0,0,3,0,10,5715.0,0.04629854663879843,132161.0,0.0,30,T0,30,0.0
2021-07-09,2021-07-12,30,7,5,5,3,0,0,3,0,8,3791.0,0.031786091593580736,91632.0,0.0,30,T0,30,0.0
2021-07-23,2021-07-26,30,20,2,6,14,0,0,4,0,16,867.0,0.006778786386132808,208734.0,0.0,30,T0,30,0.0
2021-08-06,2021-08-09,30,11,0,16,9,0,0,2,0,9,2118.0,0.015888614659835112,263113.0,0.0,30,T0,30,0.0
2021-08-20,2021-08-23,30,6,2,7,6,0,0,0,0,8,4341.0,0.03676570228335253,163145.0,0.0,30,T0,30,0.0
2021-09-03,2021-09-06,30,13,0,8,13,0,0,0,0,13,2309.0,0.020495295579620095,218754.0,0.0,30,T0,30,0.0
2021-09-17,2021-09-22,30,9,4,9,3,0,0,4,0,7,1924.0,0.015671070422076334,104735.0,0.0,30,T0,30,0.0
2021-09-30,2021-10-08,30,6,6,1,1,0,0,2,0,7,1576.0,0.01352406614435396,13452.0,0.0,30,T0,30,0.0
2021-10-15,2021-10-18,30,8,2,5,8,0,0,0,0,10,5989.0,0.04966579868309754,186297.0,0.0,30,T0,30,0.0
2021-10-29,2021-11-01,30,10,3,7,9,0,0,0,0,12,5629.999999999996,0.04515523616268715,194151.0,0.0,30,T0,30,0.0
2021-11-12,2021-11-15,30,7,2,10,6,0,0,0,0,8,662.0,0.005179441840814315,175316.0,0.0,30,T0,30,0.0
2021-11-26,2021-11-29,30,5,3,5,5,0,0,0,0,8,2540.0,0.01961586877447157,117024.0,0.0,30,T0,30,0.0
2021-12-10,2021-12-13,30,2,6,2,2,0,0,0,0,8,3548.0,0.028482435296384303,32570.0,0.0,30,T0,30,0.0
2021-12-24,2021-12-27,30,7,5,3,3,0,0,3,0,8,1520.0,0.012815000295082243,50716.0,0.0,30,T0,30,0.0
2022-01-07,2022-01-10,30,10,3,5,7,0,0,0,0,10,3864.0,0.035244540927084664,142840.0,0.0,30,T0,30,0.0
2022-01-21,2022-01-24,30,12,7,3,6,0,0,1,0,13,3431.0,0.03251516300227445,85229.0,0.0,30,T0,30,0.0
2022-02-11,2022-02-14,30,18,3,10,13,0,0,2,0,16,179.0,0.0017475349018842136,151262.0,0.0,30,T0,30,0.0
