level,cost_bps,total_return,compound_annual_return,annual_vol,absolute_sharpe_or_contract_sharpe,benchmark_total_return,excess_return_vs_000852,information_ratio_vs_000852,max_drawdown,max_drawdown_peak_date,max_drawdown_trough_date,calmar_ratio,crunch_strategy_return,crunch_000852_return,crunch_excess_return_vs_000852,avg_gross_exposure,rebalance_count,cumulative_cost_drag_pp,return_period_count,official_l3_daily_return_corr,official_l3_cagr_diff,official_l3_maxdd_diff
L0,0.0,17.60685633594282,0.7518581275501501,0.2685162931881222,2.8000465767766247,0.25162190457765377,17.355234431365165,1.4853754810142166,-0.3257313542090531,2023-04-25,2024-02-07,2.308215398471007,-0.24400673111284998,-0.1850421485653686,-0.05896458254748138,1.9708051629071408,139,0.0,1314,,,
L0,20.0,7.024828955532664,0.49091690164690793,0.27166670499687073,1.8070558247193476,0.25162190457765377,6.77320705095501,1.0222481094683553,-0.4056793030050202,2023-04-25,2024-02-07,1.210110789509104,-0.25880793662988155,-0.1850421485653686,-0.07376578806451295,1.9708051629071408,139,83.79694914968361,1314,,,
L0.5,0.0,0.9746273402255847,0.13937945508784777,0.25937085399087384,0.5373751635669594,0.25162190457765377,0.723005435647931,0.5097493096459647,-0.5110139548748432,2023-06-20,2024-02-07,0.272750780596558,-0.399584864173284,-0.1850421485653686,-0.21454271560791538,0.9961948249599152,139,0.0,1314,,,
L0.5,20.0,0.2908341229076865,0.05017777636716092,0.2589617276668996,0.1937652209043963,0.25162190457765377,0.039212218330032744,0.05872741280890311,-0.5780542232041739,2021-11-29,2024-02-07,0.08680461858582025,-0.40559639420036153,-0.1850421485653686,-0.22055424563499293,0.9961948249599152,139,42.57001400335382,1314,,,
L1,0.0,1.0700945492680032,0.14974321882537045,0.30212270210569997,0.4956370963906632,0.25162190457765377,0.8184726446903494,0.4909359987761306,-0.5625827367507186,2023-06-20,2024-02-07,0.26617101635616297,-0.4315211747107145,-0.1850421485653686,-0.2464790261453459,0.9961948249531661,139,0.0,1314,,,
L1,20.0,0.29150160965166605,0.050281900038797955,0.30146612512988585,0.16679121084378598,0.25162190457765377,0.039879705074012284,0.09826159918165886,-0.629147738313641,2021-11-29,2024-02-07,0.07992065611421074,-0.4375024926432012,-0.1850421485653686,-0.2524603440778326,0.9961948249531661,139,47.28780865211157,1314,,,
L2,0.0,1.3814249974595585,0.1810549168132265,0.34912239778865256,0.5186001183539972,0.25162190457765377,1.1298030928819047,0.5441715093686458,-0.5685685872936146,2021-11-29,2024-02-07,0.3184398872175608,-0.44625395867299833,-0.1850421485653686,-0.2612118101076297,0.996194824938039,139,0.0,1314,,,
L2,20.0,0.45395802079997716,0.07442061051274274,0.3483957790042031,0.21360939195490344,0.25162190457765377,0.2023361162223234,0.21244731840669034,-0.6436164585371094,2021-11-29,2024-02-07,0.11562881825908407,-0.45243988334832363,-0.1850421485653686,-0.26739773478295503,0.996194824938039,139,49.48087927401611,1314,,,
L3,0.0,1.0669668046945846,0.14940985961358844,0.30542290448757614,0.4891900948432833,0.25162190457765377,0.8153449001169308,0.48580876807627116,-0.5778190578150956,2023-06-20,2024-02-07,0.25857551355012626,-0.44395679756573714,-0.1850421485653686,-0.25891464900036854,0.9961948249619482,139,0.0,1314,0.9130587902543934,0.029044569678556398,-0.12300393844940039
L3,20.0,0.2764051607134561,0.0479162415837624,0.304970121220598,0.15711782318866088,0.25162190457765377,0.024783256135802345,0.09141314719911867,-0.6346576604610732,2021-08-10,2024-02-07,0.07549935117611543,-0.4499207948964219,-0.1850421485653686,-0.2648786463310533,0.9961948249619482,139,48.28113792263104,1314,,,
